2021-10-06 11:30:43 status half-installed gnome-icon-theme:all 3.12.0-3
2021-10-06 11:30:45 status unpacked gnome-icon-theme:all 3.12.0-3
2021-10-06 11:30:45 install libatk1.0-data:all <none> 2.35.1-1ubuntu2
2021-10-06 11:30:45 status half-installed libatk1.0-data:all 2.35.1-1ubuntu2
2021-10-06 11:30:45 status unpacked libatk1.0-data:all 2.35.1-1ubuntu2
2021-10-06 11:30:45 install libatk1.0-0:amd64 <none> 2.35.1-1ubuntu2
2021-10-06 11:30:45 status half-installed libatk1.0-0:amd64 2.35.1-1ubuntu2
2021-10-06 11:30:45 status unpacked libatk1.0-0:amd64 2.35.1-1ubuntu2
2021-10-06 11:30:46 install libatk-bridge2.0-0:amd64 <none> 2.34.2-0ubuntu2~20.04.1
2021-10-06 11:30:46 status half-installed libatk-bridge2.0-0:amd64 2.34.2-0ubuntu2~20.04.1
2021-10-06 11:30:46 status unpacked libatk-bridge2.0-0:amd64 2.34.2-0ubuntu2~20.04.1
2021-10-06 11:30:46 install libavahi-common-data:amd64 <none> 0.7-4ubuntu7.1
2021-10-06 11:30:46 status half-installed libavahi-common-data:amd64 0.7-4ubuntu7.1
2021-10-06 11:30:46 status unpacked libavahi-common-data:amd64 0.7-4ubuntu7.1
2021-10-06 11:30:46 install libavahi-common3:amd64 <none> 0.7-4ubuntu7.1
2021-10-06 11:30:46 status half-installed libavahi-common3:amd64 0.7-4ubuntu7.1
2021-10-06 11:30:46 status unpacked libavahi-common3:amd64 0.7-4ubuntu7.1
2021-10-06 11:30:46 install libavahi-client3:amd64 <none> 0.7-4ubuntu7.1
2021-10-06 11:30:46 status half-installed libavahi-client3:amd64 0.7-4ubuntu7.1
2021-10-06 11:30:46 status unpacked libavahi-client3:amd64 0.7-4ubuntu7.1
2021-10-06 11:30:46 install libbrotli1:amd64 <none> 1.0.7-6ubuntu0.1
2021-10-06 11:30:46 status half-installed libbrotli1:amd64 1.0.7-6ubuntu0.1
2021-10-06 11:30:46 status unpacked libbrotli1:amd64 1.0.7-6ubuntu0.1
2021-10-06 11:30:46 install liblcms2-2:amd64 <none> 2.9-4
2021-10-06 11:30:46 status half-installed liblcms2-2:amd64 2.9-4
2021-10-06 11:30:46 status unpacked liblcms2-2:amd64 2.9-4
2021-10-06 11:30:46 install libcolord2:amd64 <none> 1.4.4-2
2021-10-06 11:30:46 status half-installed libcolord2:amd64 1.4.4-2
2021-10-06 11:30:46 status unpacked libcolord2:amd64 1.4.4-2
2021-10-06 11:30:46 install libcups2:amd64 <none> 2.3.1-9ubuntu1.1
2021-10-06 11:30:46 status half-installed libcups2:amd64 2.3.1-9ubuntu1.1
2021-10-06 11:30:46 status unpacked libcups2:amd64 2.3.1-9ubuntu1.1
2021-10-06 11:30:47 install libepoxy0:amd64 <none> 1.5.4-1
2021-10-06 11:30:47 status half-installed libepoxy0:amd64 1.5.4-1
2021-10-06 11:30:47 status unpacked libepoxy0:amd64 1.5.4-1
2021-10-06 11:30:47 install libgtk2.0-common:all <none> 2.24.32-4ubuntu4
2021-10-06 11:30:47 status half-installed libgtk2.0-common:all 2.24.32-4ubuntu4
2021-10-06 11:30:47 status unpacked libgtk2.0-common:all 2.24.32-4ubuntu4
2021-10-06 11:30:47 install libxcomposite1:amd64 <none> 1:0.4.5-1
2021-10-06 11:30:47 status half-installed libxcomposite1:amd64 1:0.4.5-1
2021-10-06 11:30:47 status unpacked libxcomposite1:amd64 1:0.4.5-1
2021-10-06 11:30:47 install libxdamage1:amd64 <none> 1:1.1.5-2
2021-10-06 11:30:47 status half-installed libxdamage1:amd64 1:1.1.5-2
2021-10-06 11:30:47 status unpacked libxdamage1:amd64 1:1.1.5-2
2021-10-06 11:30:47 install libgtk2.0-0:amd64 <none> 2.24.32-4ubuntu4
2021-10-06 11:30:47 status half-installed libgtk2.0-0:amd64 2.24.32-4ubuntu4
2021-10-06 11:30:47 status unpacked libgtk2.0-0:amd64 2.24.32-4ubuntu4
2021-10-06 11:30:47 install libgail18:amd64 <none> 2.24.32-4ubuntu4
2021-10-06 11:30:48 status half-installed libgail18:amd64 2.24.32-4ubuntu4
2021-10-06 11:30:48 status unpacked libgail18:amd64 2.24.32-4ubuntu4
2021-10-06 11:30:48 install libgail-common:amd64 <none> 2.24.32-4ubuntu4
2021-10-06 11:30:48 status half-installed libgail-common:amd64 2.24.32-4ubuntu4
2021-10-06 11:30:48 status unpacked libgail-common:amd64 2.24.32-4ubuntu4
2021-10-06 11:30:48 install libgdk-pixbuf2.0-bin:amd64 <none> 2.40.0+dfsg-3ubuntu0.2
2021-10-06 11:30:48 status half-installed libgdk-pixbuf2.0-bin:amd64 2.40.0+dfsg-3ubuntu0.2
2021-10-06 11:30:48 status unpacked libgdk-pixbuf2.0-bin:amd64 2.40.0+dfsg-3ubuntu0.2
2021-10-06 11:30:48 install libjson-glib-1.0-common:all <none> 1.4.4-2ubuntu2
2021-10-06 11:30:48 status half-installed libjson-glib-1.0-common:all 1.4.4-2ubuntu2
2021-10-06 11:30:48 status unpacked libjson-glib-1.0-common:all 1.4.4-2ubuntu2
2021-10-06 11:30:48 install libjson-glib-1.0-0:amd64 <none> 1.4.4-2ubuntu2
2021-10-06 11:30:48 status half-installed libjson-glib-1.0-0:amd64 1.4.4-2ubuntu2
2021-10-06 11:30:48 status unpacked libjson-glib-1.0-0:amd64 1.4.4-2ubuntu2
2021-10-06 11:30:48 install libsoup2.4-1:amd64 <none> 2.70.0-1
2021-10-06 11:30:48 status half-installed libsoup2.4-1:amd64 2.70.0-1
2021-10-06 11:30:48 status unpacked libsoup2.4-1:amd64 2.70.0-1
2021-10-06 11:30:48 install libsoup-gnome2.4-1:amd64 <none> 2.70.0-1
2021-10-06 11:30:48 status half-installed libsoup-gnome2.4-1:amd64 2.70.0-1
2021-10-06 11:30:48 status unpacked libsoup-gnome2.4-1:amd64 2.70.0-1
2021-10-06 11:30:48 install librest-0.7-0:amd64 <none> 0.8.1-1
